"","MG210801_-_RdRp_CDS","AY800279_-_viral_replicase_CDS","KT717325_-_RdRP_CDS","KU159093_-_RNA-dependent_RNA_polymerase_CDS","KU697313_-_RNA-dependent_RNA_polymerase_CDS","LC107517_-_RdRp_CDS","LC155795_-_RdRp_CDS","Hylocereus_undatus_SRR11603187__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Schlumbergera_truncata_15H04_sty__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Schlumbergera_truncata_19JSF_sty__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Schlumbergera_truncata_15H04_pol__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_polyrhizus_SRR11190796__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_polyrhizus_SRR11190801__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_undatus_SRR11190792__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_undatus_SRR11603182__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_undatus_SRR11603186__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_undatus_SRR11603189__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Schlumbergera_truncata_15H03_sty__NC_002815_a_-_RNA-dependent_RNA_polymerase_CDS","Schlumbergera_truncata_15H06_pol__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_polyrhizus_SRR11190802__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_undatus_SRR11190791__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_undatus_SRR11190793__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_undatus_SRR11190799__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_undatus_SRR11190800__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_polyrhizus_SRR11190797__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Schlumbergera_truncata_15H03_pol__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_polyrhizus_SRR11190795__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_polyrhizus_SRR11190798__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Schlumbergera_truncata_15H04_pet__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Schlumbergera_truncata_15H03_sty__NC_002815_b_-_RNA-dependent_RNA_polymerase_CDS","KX196173_-_RdRp_CDS","MF978248_-_RdRp_CDS","Schlumbergera_truncata_15H05_pol__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","AY863024_-_ORF1_CDS","FJ822136_-_RdRp_CDS","GQ179646_-_replicase_CDS","GQ179647_-_replicase_CDS","LC107515_-_RdRp_CDS","MH423501_-_replicase_CDS","Schlumbergera_truncata_15H06_sty__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_undatus_SRR11603190__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_undatus_SRR11603191__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","JF937699_-_RNA-dependent_RNA_polymerase_CDS","KX883791_-_ORF1_CDS","LC128411_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_undatus_SRR11603183__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_undatus_SRR11603184__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","AF308158_-_RNA-dependent_RNA_polymerase_CDS","AY366208_-_replication-associated_protein_CDS","Hylocereus_polyrhizus_SRR11190796__NC_006059_-_RdRp_CDS","Hylocereus_polyrhizus_SRR11190797__NC_006059_-_RdRp_CDS","Hylocereus_polyrhizus_SRR11190798__NC_006059_-_RdRp_CDS","Hylocereus_polyrhizus_SRR11190801__NC_006059_-_RdRp_CDS","Hylocereus_polyrhizus_SRR11190802__NC_006059_-_RdRp_CDS","Hylocereus_undatus_SRR11603186__NC_006059_-_RdRp_CDS","Hylocereus_undatus_SRR11603187__NC_006059_-_RdRp_CDS","Hylocereus_undatus_SRR11603189__NC_006059_-_RdRp_CDS","Hylocereus_undatus_SRR11603190__NC_006059_-_RdRp_CDS","Hylocereus_undatus_SRR11603191__NC_006059_-_RdRp_CDS","JF930326_-_RdRp_CDS","AY366207_-_replication-associated_protein_CDS","Hylocereus_polyrhizus_SRR11190798__NC_011659_-_ORF1_CDS","Hylocereus_polyrhizus_SRR11190801__NC_011659_-_ORF1_CDS","Hylocereus_polyrhizus_SRR11190802__NC_011659_-_ORF1_CDS","Hylocereus_undatus_SRR11603183__NC_011659_-_replication-associated_protein_CDS","Hylocereus_undatus_SRR11603184__NC_011659_-_ORF1_CDS","Hylocereus_undatus_SRR11603187__NC_011659_-_replication-associated_protein_CDS","Hylocereus_undatus_SRR11603189__NC_011659_-_replication-associated_protein_CDS","KP090203_-_ORF1_CDS","KU854929_-_RdRp_CDS","JX524226_-_CDS","AY366209_-_replication-associated_protein_CDS","KU854931_-_RdRp_CDS","KY348771_-_RdRp_CDS","Hylocereus_polyrhizus_SRR11190795__NC_024458_-_RdRp_CDS","Hylocereus_polyrhizus_SRR11190796__NC_024458_-_RdRp_CDS","Hylocereus_polyrhizus_SRR11190797__NC_024458_-_RdRp_CDS","Hylocereus_polyrhizus_SRR11190798__NC_024458_-_RdRp_CDS","Hylocereus_polyrhizus_SRR11190801__NC_024458_-_RdRp_CDS","Hylocereus_polyrhizus_SRR11190802__NC_024458_-_RdRp_CDS","Hylocereus_undatus_SRR11190791__NC_024458_-_RdRp_CDS","Hylocereus_undatus_SRR11190792__NC_024458_-_RdRp_CDS","Hylocereus_undatus_SRR11190793__NC_024458_-_RdRp_CDS","Hylocereus_undatus_SRR11190799__NC_024458_-_similar_to_RdRp","Hylocereus_undatus_SRR11190800__NC_024458_-_similar_to_RdRp","Hylocereus_undatus_SRR11603182__NC_024458_-_RdRp_CDS","Hylocereus_undatus_SRR11603183__NC_024458_-_RdRp_CDS","Hylocereus_undatus_SRR11603184__NC_024458_-_RdRp_CDS","Hylocereus_undatus_SRR11603186__NC_024458_-_RdRp_CDS","Hylocereus_undatus_SRR11603187__NC_024458_-_similar_to_RdRp","Hylocereus_undatus_SRR11603189__NC_024458_-_RdRp_CDS","Hylocereus_undatus_SRR11603190__NC_024458_-_RdRp_CDS","Hylocereus_undatus_SRR11603191__NC_024458_-_RdRp_CDS","JF930327_-_similar_to_RdRp","CYMRNA_-_replicase_CDS"
"MF978248_-_RdRp_CDS",1218,733,697,697,686,626,686,311,309,309,308,305,305,305,305,305,305,305,305,303,303,303,303,303,302,300,299,299,301,296,148,0,294,148,148,148,148,128,148,288,331,331,281,281,281,327,327,286,292,292,292,292,292,292,292,292,292,292,292,292,340,340,340,340,340,340,340,340,340,340,176,342,342,342,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,543
"Schlumbergera_truncata_15H05_pol__NC_002815_-_RNA-dependent_RNA_polymerase_CDS",1010,703,667,667,656,604,656,21,19,19,18,15,15,15,15,15,15,15,15,13,13,13,13,13,12,10,9,9,9,6,308,294,0,314,314,314,314,334,314,6,41,41,61,61,13,37,37,14,78,78,78,78,78,78,78,78,78,78,78,78,102,102,102,102,102,102,102,102,102,102,336,104,104,104,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,461
"AY863024_-_ORF1_CDS",1236,793,757,757,746,668,746,331,329,329,328,325,325,325,325,325,325,325,325,323,323,323,323,323,322,320,319,319,321,316,94,148,314,0,0,0,0,56,0,308,351,351,299,299,301,347,347,306,320,320,320,320,320,320,320,320,320,320,320,320,348,348,348,348,348,348,348,348,348,348,116,344,344,344,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,557
"FJ822136_-_RdRp_CDS",1236,793,757,757,746,668,746,331,329,329,328,325,325,325,325,325,325,325,325,323,323,323,323,323,322,320,319,319,321,316,94,148,314,0,0,0,0,56,0,308,351,351,299,299,301,347,347,306,320,320,320,320,320,320,320,320,320,320,320,320,348,348,348,348,348,348,348,348,348,348,116,344,344,344,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,557
"GQ179646_-_replicase_CDS",1236,793,757,757,746,668,746,331,329,329,328,325,325,325,325,325,325,325,325,323,323,323,323,323,322,320,319,319,321,316,94,148,314,0,0,0,0,56,0,308,351,351,299,299,301,347,347,306,320,320,320,320,320,320,320,320,320,320,320,320,348,348,348,348,348,348,348,348,348,348,116,344,344,344,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,557
"GQ179647_-_replicase_CDS",1236,793,757,757,746,668,746,331,329,329,328,325,325,325,325,325,325,325,325,323,323,323,323,323,322,320,319,319,321,316,94,148,314,0,0,0,0,56,0,308,351,351,299,299,301,347,347,306,320,320,320,320,320,320,320,320,320,320,320,320,348,348,348,348,348,348,348,348,348,348,116,344,344,344,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,557
"LC107515_-_RdRp_CDS",1254,809,773,773,762,684,762,351,349,349,348,345,345,345,345,345,345,345,345,343,343,343,343,343,342,340,339,339,341,336,118,128,334,56,56,56,56,0,56,328,371,371,313,313,321,367,367,326,328,328,328,328,328,328,328,328,328,328,328,328,382,382,382,382,382,382,382,382,382,382,118,362,362,362,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,569
"MH423501_-_replicase_CDS",1236,793,757,757,746,668,746,331,329,329,328,325,325,325,325,325,325,325,325,323,323,323,323,323,322,320,319,319,321,316,94,148,314,0,0,0,0,56,0,308,351,351,299,299,301,347,347,306,320,320,320,320,320,320,320,320,320,320,320,320,348,348,348,348,348,348,348,348,348,348,116,344,344,344,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,557
"Schlumbergera_truncata_15H06_sty__NC_002815_-_RNA-dependent_RNA_polymerase_CDS",1004,697,661,661,650,598,650,27,25,25,24,21,21,21,21,21,21,21,21,19,19,19,19,19,18,16,15,15,15,12,302,288,6,308,308,308,308,328,308,0,47,47,55,55,7,43,43,8,72,72,72,72,72,72,72,72,72,72,72,72,96,96,96,96,96,96,96,96,96,96,330,98,98,98,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,455
"Hylocereus_undatus_SRR11603190__NC_002815_-_RNA-dependent_RNA_polymerase_CDS",1047,740,704,704,693,641,693,28,30,32,29,34,28,34,28,26,26,28,28,28,28,28,28,28,29,31,32,32,40,35,345,331,41,351,351,351,351,371,351,47,0,0,98,98,50,4,4,55,115,115,115,115,115,115,115,115,115,115,115,115,139,139,139,139,139,139,139,139,139,139,373,141,141,141,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,498
"Hylocereus_undatus_SRR11603191__NC_002815_-_RNA-dependent_RNA_polymerase_CDS",1047,740,704,704,693,641,693,28,30,32,29,34,28,34,28,26,26,28,28,28,28,28,28,28,29,31,32,32,40,35,345,331,41,351,351,351,351,371,351,47,0,0,98,98,50,4,4,55,115,115,115,115,115,115,115,115,115,115,115,115,139,139,139,139,139,139,139,139,139,139,373,141,141,141,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,498
"JF937699_-_RNA-dependent_RNA_polymerase_CDS",1007,714,678,678,667,589,667,78,76,76,75,72,72,72,72,72,72,72,72,70,70,70,70,70,69,67,66,66,68,63,301,281,61,299,299,299,299,313,299,55,98,98,0,0,48,94,94,53,61,61,61,61,61,61,61,61,61,61,61,61,115,115,115,115,115,115,115,115,115,115,319,81,81,81,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,460
"KX883791_-_ORF1_CDS",1007,714,678,678,667,589,667,78,76,76,75,72,72,72,72,72,72,72,72,70,70,70,70,70,69,67,66,66,68,63,301,281,61,299,299,299,299,313,299,55,98,98,0,0,48,94,94,53,61,61,61,61,61,61,61,61,61,61,61,61,115,115,115,115,115,115,115,115,115,115,319,81,81,81,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,460
"LC128411_-_RNA-dependent_RNA_polymerase_CDS",997,690,654,654,643,591,643,30,28,28,27,24,24,24,24,24,24,24,24,22,22,22,22,22,21,19,18,18,20,15,295,281,13,301,301,301,301,321,301,7,50,50,48,48,0,46,46,5,65,65,65,65,65,65,65,65,65,65,65,65,89,89,89,89,89,89,89,89,89,89,323,91,91,91,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,448
"Hylocereus_undatus_SRR11603183__NC_002815_-_RNA-dependent_RNA_polymerase_CDS",1043,736,700,700,689,637,689,32,32,30,31,30,26,30,26,26,26,26,26,24,24,24,24,24,25,27,28,28,36,31,341,327,37,347,347,347,347,367,347,43,4,4,94,94,46,0,0,51,111,111,111,111,111,111,111,111,111,111,111,111,135,135,135,135,135,135,135,135,135,135,369,137,137,137,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,494
"Hylocereus_undatus_SRR11603184__NC_002815_-_RNA-dependent_RNA_polymerase_CDS",1043,736,700,700,689,637,689,32,32,30,31,30,26,30,26,26,26,26,26,24,24,24,24,24,25,27,28,28,36,31,341,327,37,347,347,347,347,367,347,43,4,4,94,94,46,0,0,51,111,111,111,111,111,111,111,111,111,111,111,111,135,135,135,135,135,135,135,135,135,135,369,137,137,137,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,494
"AF308158_-_RNA-dependent_RNA_polymerase_CDS",1002,693,657,657,646,594,646,35,33,33,32,29,29,29,29,29,29,29,29,27,27,27,27,27,26,24,23,23,23,20,300,286,14,306,306,306,306,326,306,8,55,55,53,53,5,51,51,0,70,70,70,70,70,70,70,70,70,70,70,70,94,94,94,94,94,94,94,94,94,94,328,96,96,96,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,453
"AY366208_-_replication-associated_protein_CDS",966,725,689,689,678,602,678,95,93,93,92,89,89,89,89,89,89,89,89,87,87,87,87,87,86,84,83,83,85,80,308,292,78,320,320,320,320,328,320,72,115,115,61,61,65,111,111,70,0,0,0,0,0,0,0,0,0,0,0,0,96,96,96,96,96,96,96,96,96,96,332,96,96,96,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,453
"Hylocereus_polyrhizus_SRR11190796__NC_006059_-_RdRp_CDS",966,725,689,689,678,602,678,95,93,93,92,89,89,89,89,89,89,89,89,87,87,87,87,87,86,84,83,83,85,80,308,292,78,320,320,320,320,328,320,72,115,115,61,61,65,111,111,70,0,0,0,0,0,0,0,0,0,0,0,0,96,96,96,96,96,96,96,96,96,96,332,96,96,96,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,453
"Hylocereus_polyrhizus_SRR11190797__NC_006059_-_RdRp_CDS",966,725,689,689,678,602,678,95,93,93,92,89,89,89,89,89,89,89,89,87,87,87,87,87,86,84,83,83,85,80,308,292,78,320,320,320,320,328,320,72,115,115,61,61,65,111,111,70,0,0,0,0,0,0,0,0,0,0,0,0,96,96,96,96,96,96,96,96,96,96,332,96,96,96,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,453
"Hylocereus_polyrhizus_SRR11190798__NC_006059_-_RdRp_CDS",966,725,689,689,678,602,678,95,93,93,92,89,89,89,89,89,89,89,89,87,87,87,87,87,86,84,83,83,85,80,308,292,78,320,320,320,320,328,320,72,115,115,61,61,65,111,111,70,0,0,0,0,0,0,0,0,0,0,0,0,96,96,96,96,96,96,96,96,96,96,332,96,96,96,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,453
"Hylocereus_polyrhizus_SRR11190801__NC_006059_-_RdRp_CDS",966,725,689,689,678,602,678,95,93,93,92,89,89,89,89,89,89,89,89,87,87,87,87,87,86,84,83,83,85,80,308,292,78,320,320,320,320,328,320,72,115,115,61,61,65,111,111,70,0,0,0,0,0,0,0,0,0,0,0,0,96,96,96,96,96,96,96,96,96,96,332,96,96,96,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,453
"Hylocereus_polyrhizus_SRR11190802__NC_006059_-_RdRp_CDS",966,725,689,689,678,602,678,95,93,93,92,89,89,89,89,89,89,89,89,87,87,87,87,87,86,84,83,83,85,80,308,292,78,320,320,320,320,328,320,72,115,115,61,61,65,111,111,70,0,0,0,0,0,0,0,0,0,0,0,0,96,96,96,96,96,96,96,96,96,96,332,96,96,96,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,453
"Hylocereus_undatus_SRR11603186__NC_006059_-_RdRp_CDS",966,725,689,689,678,602,678,95,93,93,92,89,89,89,89,89,89,89,89,87,87,87,87,87,86,84,83,83,85,80,308,292,78,320,320,320,320,328,320,72,115,115,61,61,65,111,111,70,0,0,0,0,0,0,0,0,0,0,0,0,96,96,96,96,96,96,96,96,96,96,332,96,96,96,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,453
"Hylocereus_undatus_SRR11603187__NC_006059_-_RdRp_CDS",966,725,689,689,678,602,678,95,93,93,92,89,89,89,89,89,89,89,89,87,87,87,87,87,86,84,83,83,85,80,308,292,78,320,320,320,320,328,320,72,115,115,61,61,65,111,111,70,0,0,0,0,0,0,0,0,0,0,0,0,96,96,96,96,96,96,96,96,96,96,332,96,96,96,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,453
"Hylocereus_undatus_SRR11603189__NC_006059_-_RdRp_CDS",966,725,689,689,678,602,678,95,93,93,92,89,89,89,89,89,89,89,89,87,87,87,87,87,86,84,83,83,85,80,308,292,78,320,320,320,320,328,320,72,115,115,61,61,65,111,111,70,0,0,0,0,0,0,0,0,0,0,0,0,96,96,96,96,96,96,96,96,96,96,332,96,96,96,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,453
"Hylocereus_undatus_SRR11603190__NC_006059_-_RdRp_CDS",966,725,689,689,678,602,678,95,93,93,92,89,89,89,89,89,89,89,89,87,87,87,87,87,86,84,83,83,85,80,308,292,78,320,320,320,320,328,320,72,115,115,61,61,65,111,111,70,0,0,0,0,0,0,0,0,0,0,0,0,96,96,96,96,96,96,96,96,96,96,332,96,96,96,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,453
"Hylocereus_undatus_SRR11603191__NC_006059_-_RdRp_CDS",966,725,689,689,678,602,678,95,93,93,92,89,89,89,89,89,89,89,89,87,87,87,87,87,86,84,83,83,85,80,308,292,78,320,320,320,320,328,320,72,115,115,61,61,65,111,111,70,0,0,0,0,0,0,0,0,0,0,0,0,96,96,96,96,96,96,96,96,96,96,332,96,96,96,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,453
"JF930326_-_RdRp_CDS",966,725,689,689,678,602,678,95,93,93,92,89,89,89,89,89,89,89,89,87,87,87,87,87,86,84,83,83,85,80,308,292,78,320,320,320,320,328,320,72,115,115,61,61,65,111,111,70,0,0,0,0,0,0,0,0,0,0,0,0,96,96,96,96,96,96,96,96,96,96,332,96,96,96,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,453
"AY366207_-_replication-associated_protein_CDS",988,709,673,673,662,600,662,119,117,117,116,113,113,113,113,113,113,113,113,111,111,111,111,111,110,108,107,107,109,104,336,340,102,348,348,348,348,382,348,96,139,139,115,115,89,135,135,94,96,96,96,96,96,96,96,96,96,96,96,96,0,0,0,0,0,0,0,0,0,0,344,138,138,138,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,473
"Hylocereus_polyrhizus_SRR11190798__NC_011659_-_ORF1_CDS",988,709,673,673,662,600,662,119,117,117,116,113,113,113,113,113,113,113,113,111,111,111,111,111,110,108,107,107,109,104,336,340,102,348,348,348,348,382,348,96,139,139,115,115,89,135,135,94,96,96,96,96,96,96,96,96,96,96,96,96,0,0,0,0,0,0,0,0,0,0,344,138,138,138,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,473
"Hylocereus_polyrhizus_SRR11190801__NC_011659_-_ORF1_CDS",988,709,673,673,662,600,662,119,117,117,116,113,113,113,113,113,113,113,113,111,111,111,111,111,110,108,107,107,109,104,336,340,102,348,348,348,348,382,348,96,139,139,115,115,89,135,135,94,96,96,96,96,96,96,96,96,96,96,96,96,0,0,0,0,0,0,0,0,0,0,344,138,138,138,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,473
"Hylocereus_polyrhizus_SRR11190802__NC_011659_-_ORF1_CDS",988,709,673,673,662,600,662,119,117,117,116,113,113,113,113,113,113,113,113,111,111,111,111,111,110,108,107,107,109,104,336,340,102,348,348,348,348,382,348,96,139,139,115,115,89,135,135,94,96,96,96,96,96,96,96,96,96,96,96,96,0,0,0,0,0,0,0,0,0,0,344,138,138,138,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,473
"Hylocereus_undatus_SRR11603183__NC_011659_-_replication-associated_protein_CDS",988,709,673,673,662,600,662,119,117,117,116,113,113,113,113,113,113,113,113,111,111,111,111,111,110,108,107,107,109,104,336,340,102,348,348,348,348,382,348,96,139,139,115,115,89,135,135,94,96,96,96,96,96,96,96,96,96,96,96,96,0,0,0,0,0,0,0,0,0,0,344,138,138,138,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,473
"Hylocereus_undatus_SRR11603184__NC_011659_-_ORF1_CDS",988,709,673,673,662,600,662,119,117,117,116,113,113,113,113,113,113,113,113,111,111,111,111,111,110,108,107,107,109,104,336,340,102,348,348,348,348,382,348,96,139,139,115,115,89,135,135,94,96,96,96,96,96,96,96,96,96,96,96,96,0,0,0,0,0,0,0,0,0,0,344,138,138,138,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,473
"Hylocereus_undatus_SRR11603187__NC_011659_-_replication-associated_protein_CDS",988,709,673,673,662,600,662,119,117,117,116,113,113,113,113,113,113,113,113,111,111,111,111,111,110,108,107,107,109,104,336,340,102,348,348,348,348,382,348,96,139,139,115,115,89,135,135,94,96,96,96,96,96,96,96,96,96,96,96,96,0,0,0,0,0,0,0,0,0,0,344,138,138,138,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,473
"Hylocereus_undatus_SRR11603189__NC_011659_-_replication-associated_protein_CDS",988,709,673,673,662,600,662,119,117,117,116,113,113,113,113,113,113,113,113,111,111,111,111,111,110,108,107,107,109,104,336,340,102,348,348,348,348,382,348,96,139,139,115,115,89,135,135,94,96,96,96,96,96,96,96,96,96,96,96,96,0,0,0,0,0,0,0,0,0,0,344,138,138,138,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,473
"KP090203_-_ORF1_CDS",988,709,673,673,662,600,662,119,117,117,116,113,113,113,113,113,113,113,113,111,111,111,111,111,110,108,107,107,109,104,336,340,102,348,348,348,348,382,348,96,139,139,115,115,89,135,135,94,96,96,96,96,96,96,96,96,96,96,96,96,0,0,0,0,0,0,0,0,0,0,344,138,138,138,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,473
"KU854929_-_RdRp_CDS",988,709,673,673,662,600,662,119,117,117,116,113,113,113,113,113,113,113,113,111,111,111,111,111,110,108,107,107,109,104,336,340,102,348,348,348,348,382,348,96,139,139,115,115,89,135,135,94,96,96,96,96,96,96,96,96,96,96,96,96,0,0,0,0,0,0,0,0,0,0,344,138,138,138,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,473
"JX524226_-_CDS",1218,853,817,817,806,706,806,353,351,351,350,347,347,347,347,347,347,347,347,345,345,345,345,345,344,342,341,341,343,338,88,176,336,116,116,116,116,118,116,330,373,373,319,319,323,369,369,328,332,332,332,332,332,332,332,332,332,332,332,332,344,344,344,344,344,344,344,344,344,344,0,374,374,374,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,563
"AY366209_-_replication-associated_protein_CDS",990,737,709,709,690,628,690,121,119,119,118,115,115,115,115,115,115,115,115,113,113,113,113,113,112,110,109,109,111,106,354,342,104,344,344,344,344,362,344,98,141,141,81,81,91,137,137,96,96,96,96,96,96,96,96,96,96,96,96,96,138,138,138,138,138,138,138,138,138,138,374,0,0,0,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,475
"KU854931_-_RdRp_CDS",990,737,709,709,690,628,690,121,119,119,118,115,115,115,115,115,115,115,115,113,113,113,113,113,112,110,109,109,111,106,354,342,104,344,344,344,344,362,344,98,141,141,81,81,91,137,137,96,96,96,96,96,96,96,96,96,96,96,96,96,138,138,138,138,138,138,138,138,138,138,374,0,0,0,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,475
"KY348771_-_RdRp_CDS",990,737,709,709,690,628,690,121,119,119,118,115,115,115,115,115,115,115,115,113,113,113,113,113,112,110,109,109,111,106,354,342,104,344,344,344,344,362,344,98,141,141,81,81,91,137,137,96,96,96,96,96,96,96,96,96,96,96,96,96,138,138,138,138,138,138,138,138,138,138,374,0,0,0,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,475
"Hylocereus_polyrhizus_SRR11190795__NC_024458_-_RdRp_CDS",888,771,735,735,724,642,724,139,137,137,136,133,133,133,133,133,133,133,133,131,131,131,131,131,130,128,127,127,129,124,322,330,122,348,348,348,348,366,348,116,159,159,119,119,109,155,155,114,78,78,78,78,78,78,78,78,78,78,78,78,100,100,100,100,100,100,100,100,100,100,330,108,108,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,449
"Hylocereus_polyrhizus_SRR11190796__NC_024458_-_RdRp_CDS",888,771,735,735,724,642,724,139,137,137,136,133,133,133,133,133,133,133,133,131,131,131,131,131,130,128,127,127,129,124,322,330,122,348,348,348,348,366,348,116,159,159,119,119,109,155,155,114,78,78,78,78,78,78,78,78,78,78,78,78,100,100,100,100,100,100,100,100,100,100,330,108,108,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,449
"Hylocereus_polyrhizus_SRR11190797__NC_024458_-_RdRp_CDS",888,771,735,735,724,642,724,139,137,137,136,133,133,133,133,133,133,133,133,131,131,131,131,131,130,128,127,127,129,124,322,330,122,348,348,348,348,366,348,116,159,159,119,119,109,155,155,114,78,78,78,78,78,78,78,78,78,78,78,78,100,100,100,100,100,100,100,100,100,100,330,108,108,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,449
"Hylocereus_polyrhizus_SRR11190798__NC_024458_-_RdRp_CDS",888,771,735,735,724,642,724,139,137,137,136,133,133,133,133,133,133,133,133,131,131,131,131,131,130,128,127,127,129,124,322,330,122,348,348,348,348,366,348,116,159,159,119,119,109,155,155,114,78,78,78,78,78,78,78,78,78,78,78,78,100,100,100,100,100,100,100,100,100,100,330,108,108,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,449
"Hylocereus_polyrhizus_SRR11190801__NC_024458_-_RdRp_CDS",888,771,735,735,724,642,724,139,137,137,136,133,133,133,133,133,133,133,133,131,131,131,131,131,130,128,127,127,129,124,322,330,122,348,348,348,348,366,348,116,159,159,119,119,109,155,155,114,78,78,78,78,78,78,78,78,78,78,78,78,100,100,100,100,100,100,100,100,100,100,330,108,108,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,449
