,X,Name,X..Nucleotide.Sequences.With.Mates,X..Of.Ref.Seq,X..Pairwise.Identity,Accession,Common.Name,Description,Mean.Coverage,Organism,Ref.Seq.Name,Sequence.Length,Sequence.List.Name,Size,Taxonomy,collection_date,country,db_xref,host,isolate,isolation_source,lab_host,note,strain,paper
16,16,Hylocereus_undatus_176265_SRR11603187_potexvirus_-_NC_002815_consensus_sequence,113460,99.60%,98.50%,,,"113,460 reads assembled to NC_002815",2549.401119,Virus from SRR11603187 RR-pulp-2,NC_002815,6614,NA,50 KB,,,,,Hylocereus undatus,,,,,,
37,37,Hylocereus_undatus_176265_SRR11603187_potexvirus_-_NC_006059_consensus_sequence,144740,100.00%,99.50%,,,"144,741 reads assembled to NC_006059",3252.259209,Virus from SRR11603187 RR-pulp-2,NC_006059,6624,NA,52 KB,,,,,Hylocereus undatus,,,,,,
49,49,Hylocereus_undatus_176265_SRR11603187_potexvirus_-_NC_011659_consensus_sequence,136636,99.80%,96.10%,,,"136,636 reads assembled to NC_011659",3063.347354,Virus from SRR11603187 RR-pulp-2,NC_011659,6633,NA,51 KB,,,,,Hylocereus undatus,,,,,,
66,66,Hylocereus_undatus_176265_SRR11603187_potexvirus_-_NC_024458_consensus_sequence,164042,100.00%,99.50%,,,"164,042 reads assembled to NC_024458",3647.956268,Virus from SRR11603187 RR-pulp-2,NC_024458,6677,NA,52 KB,,,,,Hylocereus undatus,,,,,,
17,17,Hylocereus_undatus_176265_SRR11603189_potexvirus_-_NC_002815_consensus_sequence,77762,99.60%,98.80%,,,"77,762 reads assembled to NC_002815",1749.983217,Virus from SRR11603189 RR-peel-3,NC_002815,6614,NA,48 KB,,,,,Hylocereus undatus,,,,,,
38,38,Hylocereus_undatus_176265_SRR11603189_potexvirus_-_NC_006059_consensus_sequence,234138,100.00%,99.60%,,,"234,138 reads assembled to NC_006059",5267.687953,Virus from SRR11603189 RR-peel-3,NC_006059,6624,NA,53 KB,,,,,Hylocereus undatus,,,,,,
50,50,Hylocereus_undatus_176265_SRR11603189_potexvirus_-_NC_011659_consensus_sequence,110860,99.90%,96.90%,,,"110,860 reads assembled to NC_011659",2489.361827,Virus from SRR11603189 RR-peel-3,NC_011659,6633,NA,49 KB,,,,,Hylocereus undatus,,,,,,
67,67,Hylocereus_undatus_176265_SRR11603189_potexvirus_-_NC_024458_consensus_sequence,143848,100.00%,99.50%,,,"143,848 reads assembled to NC_024458",3201.384454,Virus from SRR11603189 RR-peel-3,NC_024458,6677,NA,50 KB,,,,,Hylocereus undatus,,,,,,
18,18,Hylocereus_undatus_176265_SRR11603190_potexvirus_-_NC_002815_consensus_sequence,75202,99.50%,99.50%,,,"75,202 reads assembled to NC_002815",1691.11521,Virus from SRR11603190 RR-peel-2,NC_002815,6614,NA,48 KB,,,,,Hylocereus undatus,,,,,,
39,39,Hylocereus_undatus_176265_SRR11603190_potexvirus_-_NC_006059_consensus_sequence,176564,100.00%,99.30%,,,"176,564 reads assembled to NC_006059",3967.374245,Virus from SRR11603190 RR-peel-2,NC_006059,6624,NA,52 KB,,,,,Hylocereus undatus,,,,,,
68,68,Hylocereus_undatus_176265_SRR11603190_potexvirus_-_NC_024458_consensus_sequence,353822,100.00%,99.30%,,,"353,822 reads assembled to NC_024458",7867.770855,Virus from SRR11603190 RR-peel-2,NC_024458,6677,NA,54 KB,,,,,Hylocereus undatus,,,,,,
19,19,Hylocereus_undatus_176265_SRR11603191_potexvirus_-_NC_002815_consensus_sequence,162368,99.60%,99.40%,,,"162,368 reads assembled to NC_002815",3650.517387,Virus from SRR11603191 RR-peel-1,NC_002815,6614,NA,52 KB,,,,,Hylocereus undatus,,,,,,
40,40,Hylocereus_undatus_176265_SRR11603191_potexvirus_-_NC_006059_consensus_sequence,156888,100.00%,99.20%,,,"156,888 reads assembled to NC_006059",3527.400513,Virus from SRR11603191 RR-peel-1,NC_006059,6624,NA,52 KB,,,,,Hylocereus undatus,,,,,,
69,69,Hylocereus_undatus_176265_SRR11603191_potexvirus_-_NC_024458_consensus_sequence,223108,99.90%,99.30%,,,"223,108 reads assembled to NC_024458",4967.706006,Virus from SRR11603191 RR-peel-1,NC_024458,6677,NA,53 KB,,,,,Hylocereus undatus,,,,,,
80,80,JF930326,NA,,,JF930326.1,,"Zygocactus virus X isolate P39, complete genome",NA,Zygocactus virus X,,6624,NA,17 KB,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Tymovirales; Alphaflexiviridae; Potexvirus",2006,Taiwan,taxon:253701,Hylocereus sp.,P39,,,,,
84,84,KM288842.1_1,NA,,,,,"Zygocactus virus X isolate TW-4XB-2 replication-associated protein (RdRP) gene, partial cds; and triple gene block protein 1 (TGB1), triple gene block protein 2 (TGB2), triple gene block protein 3 (TGB3), and coat protein (CP) genes, complete cds",NA,Zygocactus virus X,,2403,NA,3 KB,,,,,Hylocereus polyrhizus,,,,,,
85,85,KM288843.1,NA,,,,,"Zygocactus virus X isolate TW-456Y-4 triple gene block protein 1 (TGB1) gene, partial cds; and triple gene block protein 2 (TGB2), triple gene block protein 3 (TGB3), and coat protein (CP) genes, complete cds",NA,Zygocactus virus X,,1671,NA,2 KB,,,,,Hylocereus polyrhizus,,,,,,
86,86,'KM288844.1_1',NA,,,,,"Zygocactus virus X isolate TW-5149-5 replication-associated protein (RdRP) gene, partial cds; and triple gene block protein 1 (TGB1), triple gene block protein 2 (TGB2), triple gene block protein 3 (TGB3), and coat protein (CP) genes, complete cds",NA,Zygocactus virus X,,2399,NA,3 KB,,,,,Hylocereus polyrhizus,,,,,,
87,87,'KM288845.1_1',NA,,,,,"Zygocactus virus X isolate TW-5149-17 replication-associated protein (RdRP) gene, partial cds; and triple gene block protein 1 (TGB1), triple gene block protein 2 (TGB2), triple gene block protein 3 (TGB3), and coat protein (CP) genes, complete cds",NA,Zygocactus virus X,,2397,NA,3 KB,,,,,Hylocereus polyrhizus,,,,,,
72,72,AY366208,NA,,,AY366208.1,,"Zygocactus virus X strain B1 replication-associated protein, triple gene block protein 1, triple gene block protein 2, triple gene block protein 3, and coat protein genes, complete cds",NA,Zygocactus virus X: B1,,6624,NA,16 KB,Viruses; Riboviria; Tymovirales; Alphaflexiviridae; Potexvirus,,,taxon:253701,Schlumbergera sp.,,,Chenopodium quinoa,previously Cactus virus X,B1,Koenig et al. 2004
,,Virus_from_15H3-consensus__3_,,,,,,,,Virus from 15H3-consensus (3),,,,,,,,,Schlumbergera truncata,,,,,,
,,Virus_from_plant_15H4_15H6-consensus_5_,,,,,,,,"Virus from plant 15H4,15H6-consensus(5)",,,,,,,,,Schlumbergera truncata,,,,,,
,,Virus_from_plant_BR-consensus__2_,,,,,,,,Virus from plant BR-consensus (2),,,,,,,,,Hylocereus undatus,,,,,,
,,Virus_from_plant_BSJ-consensus_1__3_,,,,,,,,Virus from plant BSJ-consensus 1 (3),,,,,,,,,Hylocereus undatus,,,,,,
,,Virus_from_plant_BSJ-consensus_2_-3,,,,,,,,Virus from plant BSJ-consensus 2 (3),,,,,,,,,Hylocereus undatus,,,,,,
,,Virus_from_plant_DH_FR-consensus_-5,,,,,,,,"Virus from plant DH,FR-consensus (5)",,,,,,,,,Hylocereus undatus and polyrhizus,,,,,,
,,Virus_from_plant_DH-consensus_1-2,,,,,,,,Virus from plant DH-consensus 1 (2),,,,,,,,,Hylocereus polyrhizus,,,,,,
,,Virus_from_plant_DH-consensus_3-2,,,,,,,,Virus from plant DH-consensus 3 (2),,,,,,,,,Hylocereus polyrhizus,,,,,,
,,Virus_from_plant_DH-consensus_2-2,,,,,,,,Virus from plant DH-consensus 2 (2),,,,,,,,,Hylocereus polyrhizus,,,,,,
,,Virus_from_plant_FR-consensus_1-3,,,,,,,,Virus from plant FR-consensus 1 (3),,,,,,,,,Hylocereus polyrhizus,,,,,,
,,Virus_from_plant_FR-consensus_2-2,,,,,,,,Virus from plant FR-consensus 2 (2),,,,,,,,,Hylocereus polyrhizus,,,,,,
,,Virus_from_plant_GW-consensus_1-2,,,,,,,,Virus from plant GW-consensus 1 (2),,,,,,,,,Hylocereus undatus,,,,,,
,,Virus_from_plant_GW-consensus_2-2,,,,,,,,Virus from plant GW-consensus 2 (2),,,,,,,,,Hylocereus undatus,,,,,,
,,Virus_from_plant_RR-consensus_1-5,,,,,,,,Virus from plant RR-consensus 1 (5),,,,,,,,,Hylocereus undatus,,,,,,
,,Virus_from_plant_RR-consensus_2-5,,,,,,,,Virus from plant RR-consensus 2 (5),,,,,,,,,Hylocereus undatus,,,,,,
,,Virus_from_plant_RR-consensus_3-5,,,,,,,,Virus from plant RR-consensus 3 (5),,,,,,,,,Hylocereus undatus,,,,,,
,,Zygocactus_virus_X-consensus-4,,,,,,,,Zygocactus virus X-consensus (4),,,,,,,,,Hylocereus polyrhizus,,,,,,
,,Virus_from_plant_RR-GW-consensus-3,,,,,,,,Virus from plant RR-GW-consensus-3,,,,,,,,,Hylocereus undatus,,,,,,
